                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                  3.192,                  2.924,                 2.6089,                 0.4278,                0.36873,                0.32475,                0.14809,                 3.9881,                 4.0543,                  3.396,              0.0013664,              0.0013664,              0.0013664
                     66,                 3.3649,                 2.9494,                 2.5932,                0.44483,                0.35693,                0.36346,                0.17441,                 3.8643,                 3.7905,                 3.2714,              0.0013565,              0.0013565,              0.0013565
                     67,                 3.1616,                 2.7959,                 2.5731,                0.49847,                0.39874,                0.37927,                0.19259,                 3.6968,                 3.6516,                 3.2042,              0.0013466,              0.0013466,              0.0013466
                     68,                 3.1846,                 2.7653,                 2.5911,                0.44824,                0.38643,                0.37442,                0.18721,                 3.8042,                   3.55,                 3.3296,              0.0013367,              0.0013367,              0.0013367
                     69,                 3.0871,                 2.7685,                 2.5987,                0.50614,                0.46558,                0.43677,                0.20912,                 3.7745,                 3.3788,                 3.2344,              0.0013268,              0.0013268,              0.0013268
                     70,                 3.1953,                 2.7765,                 2.6196,                0.41783,                0.36416,                0.35896,                   0.18,                 3.8461,                 3.6433,                 3.2551,              0.0013169,              0.0013169,              0.0013169
                     71,                 3.2149,                 2.8453,                 2.5862,                0.46942,                0.44248,                0.41153,                0.19227,                 3.8244,                 3.4855,                 3.2659,               0.001307,               0.001307,               0.001307
                     72,                 3.1241,                 2.7274,                 2.5276,                0.49719,                0.38795,                0.38216,                0.18205,                 3.9065,                 3.6104,                  3.334,              0.0012971,              0.0012971,              0.0012971
                     73,                 3.1444,                 2.7075,                 2.5149,                0.49795,                0.38053,                0.36773,                0.17133,                 3.8855,                 3.7767,                 3.2937,              0.0012872,              0.0012872,              0.0012872
                     74,                  3.167,                 2.7058,                 2.5433,                0.54221,                0.37734,                0.38528,                0.17567,                 3.9106,                 3.6428,                 3.3479,              0.0012773,              0.0012773,              0.0012773
                     75,                 3.0763,                  2.719,                 2.5581,                0.55239,                0.39233,                0.41613,                0.19502,                 3.8697,                 3.4945,                 3.3105,              0.0012674,              0.0012674,              0.0012674
                     76,                 3.0859,                 2.6544,                 2.5332,                0.45058,                0.39528,                0.37266,                0.17193,                 3.9054,                 3.7062,                  3.255,              0.0012575,              0.0012575,              0.0012575
                     77,                 3.1828,                  2.636,                 2.5162,                0.46219,                0.44618,                0.41921,                0.19953,                 3.8291,                  3.563,                 3.2547,              0.0012476,              0.0012476,              0.0012476
                     78,                 3.1316,                 2.6578,                 2.5255,                0.48837,                0.39233,                0.39094,                0.18526,                 3.8133,                 3.6836,                   3.25,              0.0012377,              0.0012377,              0.0012377
                     79,                 3.0797,                 2.6585,                 2.5567,                0.39785,                0.46903,                0.39654,                0.18985,                 3.8231,                 3.4223,                 3.2564,              0.0012278,              0.0012278,              0.0012278
                     80,                 3.1018,                 2.6731,                 2.5147,                0.43536,                0.44248,                0.41036,                 0.1858,                  3.897,                 3.5547,                 3.2581,              0.0012179,              0.0012179,              0.0012179
                     81,                 3.0989,                  2.582,                 2.4725,                 0.3893,                0.40413,                0.34892,                0.16421,                 3.7987,                 3.9592,                 3.2567,               0.001208,               0.001208,               0.001208
                     82,                 3.0474,                 2.5945,                   2.51,                 0.4788,                0.44248,                0.40872,                0.19584,                  3.808,                 3.5036,                 3.2825,              0.0011981,              0.0011981,              0.0011981
                     83,                 2.9845,                 2.5389,                 2.4809,                0.45385,                0.35103,                0.33175,                0.15373,                 3.8214,                 3.8067,                 3.2451,              0.0011882,              0.0011882,              0.0011882
                     84,                  2.962,                 2.5719,                 2.4877,                0.49011,                0.43363,                0.41885,                0.19495,                 3.7916,                  3.446,                 3.2453,              0.0011783,              0.0011783,              0.0011783
                     85,                 2.9686,                 2.5209,                 2.4421,                0.43763,                0.41593,                0.36915,                0.17481,                 3.8146,                 3.6995,                 3.3087,              0.0011684,              0.0011684,              0.0011684
                     86,                 2.9928,                 2.6001,                 2.4807,                0.46507,                0.44368,                0.41854,                0.19899,                 3.8394,                 3.4507,                 3.3252,              0.0011585,              0.0011585,              0.0011585
                     87,                 3.0228,                 2.5474,                 2.4877,                0.49583,                0.35988,                0.38241,                0.18672,                 3.8929,                 3.7797,                 3.4152,              0.0011486,              0.0011486,              0.0011486
                     88,                 2.9425,                 2.5671,                 2.4596,                0.37479,                0.46018,                0.35205,                 0.1678,                 3.9539,                 3.7778,                  3.396,              0.0011387,              0.0011387,              0.0011387
                     89,                 3.0257,                  2.636,                 2.4973,                0.44329,                0.41888,                0.39654,                0.17298,                 3.9701,                 3.5637,                 3.3706,              0.0011288,              0.0011288,              0.0011288
                     90,                 2.9433,                 2.5591,                 2.4479,                0.43866,                0.40341,                0.38873,                0.17917,                 3.8561,                  3.633,                  3.292,              0.0011189,              0.0011189,              0.0011189
                     91,                 2.9705,                 2.5071,                 2.4386,                 0.3876,                0.47788,                0.37437,                0.18142,                 3.8016,                  3.608,                 3.2658,               0.001109,               0.001109,               0.001109
                     92,                 2.8835,                 2.4393,                 2.4283,                0.51281,                0.41003,                0.41872,                0.20166,                 3.8676,                 3.4571,                 3.3743,              0.0010991,              0.0010991,              0.0010991
                     93,                 2.8616,                 2.3959,                 2.3959,                 0.3761,                0.38348,                0.35993,                0.17673,                  3.912,                 3.8186,                 3.4422,              0.0010892,              0.0010892,              0.0010892
                     94,                 2.8386,                 2.3615,                 2.3983,                0.50653,                0.36873,                0.39895,                0.19951,                 3.9222,                 3.4392,                 3.4312,              0.0010793,              0.0010793,              0.0010793
                     95,                 2.8641,                 2.3258,                 2.4266,                0.50649,                0.44838,                 0.4257,                 0.2045,                 3.9258,                 3.4931,                 3.3797,              0.0010694,              0.0010694,              0.0010694
                     96,                 2.8515,                 2.3994,                 2.4058,                0.46601,                0.41888,                0.37203,                0.18328,                 3.8106,                 3.6318,                 3.2494,              0.0010595,              0.0010595,              0.0010595
                     97,                 2.8749,                  2.429,                 2.3948,                 0.5085,                0.36873,                0.38259,                 0.1819,                 3.7586,                 3.6415,                 3.2225,              0.0010496,              0.0010496,              0.0010496
                     98,                 2.8739,                 2.3692,                 2.3958,                0.45785,                0.43098,                0.38642,                0.18325,                 3.7766,                 3.6153,                 3.2886,              0.0010397,              0.0010397,              0.0010397
                     99,                 2.8155,                 2.2971,                 2.3788,                0.49508,                0.39823,                0.36932,                0.17635,                 3.8312,                 3.6193,                 3.3345,              0.0010298,              0.0010298,              0.0010298
                    100,                 2.7841,                 2.2519,                 2.3806,                0.50495,                0.40708,                0.39054,                 0.1794,                 3.9816,                 3.5635,                 3.4613,              0.0010199,              0.0010199,              0.0010199
                    101,                 2.8129,                 2.2667,                 2.3588,                 0.5239,                0.42198,                0.38845,                0.17501,                 3.9338,                  3.624,                 3.4301,                0.00101,                0.00101,                0.00101
                    102,                 2.8184,                 2.3045,                 2.3952,                0.39896,                0.40532,                0.33778,                0.15479,                 3.9353,                  4.077,                 3.3967,              0.0010001,              0.0010001,              0.0010001
